ticker,event_ticker,category,event_time,vol_total,vol_24h,vol_4h,vol_1h,n_trades_1h,max_trade_size_1h,net_yes_volume_1h,vol_30m,n_trades_30m,max_trade_size_30m,net_yes_volume_30m,price_change_30m,z_vol_30m,z_vol_1h,z_max_trade_size_1h,z_price_change_30m,flag_volume_spike_30m,flag_big_trade_1h,flag_price_jump_30m,suspicion_score
KXNBASPREAD-25NOV05UTADET-DET4,KXNBASPREAD-25NOV05UTADET,Sports,2025-11-06 02:50:20.874607+00:00,6800,6800,6401,2134,9,500,-306,700,2,500,700,0.26,-0.055808901620241054,0.0903678537105148,0.07717829406605084,1.0628955811766443,False,False,True,0.24658914703302542
KXNBATOTAL-25NOV05WASBOS-220,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,538,538,538,538,3,500,500,500,1,500,500,0.24,-0.11288780892808158,-0.23827996336133583,0.07717829406605084,0.9806440368797478,False,False,True,0.2305891470330254
KXNBASPREAD-25NOV05UTADET-DET19,KXNBASPREAD-25NOV05UTADET,Sports,2025-11-06 02:50:20.874607+00:00,1165,1165,518,500,1,500,-500,500,1,500,-500,-0.2299999999999999,-0.11288780892808158,-0.24610491138685608,0.07717829406605084,-0.9522672540973182,False,False,True,0.22258914703302535
KXNBASPREAD-25NOV05WASBOS-BOS4,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,7294,7294,7078,536,4,478,534,478,1,478,478,0.24,-0.11916648873194403,-0.23869180273110005,0.04594926207316656,0.9806440368797478,False,False,True,0.2149746310365833
KXNBASPREAD-25NOV05UTADET-UTA2,KXNBASPREAD-25NOV05UTADET,Sports,2025-11-06 02:50:20.874607+00:00,1929,1929,1929,522,2,500,-478,500,1,500,-500,-0.21,-0.11288780892808158,-0.24157467831944962,0.07717829406605084,-0.8700157098004221,False,False,True,0.20658914703302544
KXNBASPREAD-25NOV05UTADET-DET1,KXNBASPREAD-25NOV05UTADET,Sports,2025-11-06 02:50:20.874607+00:00,970,970,970,518,3,500,504,500,1,500,500,0.1999999999999999,-0.11288780892808158,-0.24239835705897808,0.07717829406605084,0.8161409482859545,False,False,True,0.19858914703302533
KXNBATOTAL-25NOV05BKNIND-247,KXNBATOTAL-25NOV05BKNIND,Sports,2025-11-06 02:55:06.754032+00:00,1699,1699,1662,572,4,500,-478,47,2,35,47,-0.18,-0.24217153398034033,-0.23127869407534402,0.07717829406605084,-0.7466383933550774,False,False,True,0.18258914703302542
KXNBATOTAL-25NOV05BKNIND-238,KXNBATOTAL-25NOV05BKNIND,Sports,2025-11-06 02:55:06.754032+00:00,2402,2402,2402,500,1,500,-500,500,1,500,-500,-0.18,-0.11288780892808158,-0.24610491138685608,0.07717829406605084,-0.7466383933550774,False,False,True,0.18258914703302542
KXNBATOTAL-25NOV05PHICLE-230,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,2372,2372,2046,1301,3,701,-101,0,0,0,0,0.0,-0.25558507719768286,-0.08116324379628444,0.3624980863646754,-0.006374494683009475,False,False,False,0.1812490431823377
KXNBATOTAL-25NOV05WASBOS-217,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,700,700,700,500,2,410,500,410,1,410,410,0.1899999999999999,-0.13857331721660981,-0.24610491138685608,-0.05057683681393031,0.7750151761375063,False,False,True,0.1519999999999999
