ticker,event_ticker,status,close_time,volume
KXNBASPREAD-25NOV05PHICLE-CLE13,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:39.448382Z,18486
KXNBASPREAD-25NOV05PHICLE-CLE10,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:39.169702Z,89639
KXNBASPREAD-25NOV05PHICLE-CLE1,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:38.132093Z,1281
KXNBATOTAL-25NOV05WASBOS-244,KXNBATOTAL-25NOV05WASBOS,closed,2025-11-06T03:05:13.149363Z,3672
KXNBATOTAL-25NOV05WASBOS-241,KXNBATOTAL-25NOV05WASBOS,closed,2025-11-06T03:05:12.798795Z,2407
KXNBATOTAL-25NOV05WASBOS-238,KXNBATOTAL-25NOV05WASBOS,closed,2025-11-06T03:05:12.451228Z,13294
KXNBATOTAL-25NOV05WASBOS-235,KXNBATOTAL-25NOV05WASBOS,closed,2025-11-06T03:05:11.998105Z,18714
KXNBATOTAL-25NOV05WASBOS-232,KXNBATOTAL-25NOV05WASBOS,closed,2025-11-06T03:05:11.614622Z,42201
KXNBATOTAL-25NOV05WASBOS-229,KXNBATOTAL-25NOV05WASBOS,closed,2025-11-06T03:05:10.942403Z,7256
KXNBATOTAL-25NOV05WASBOS-226,KXNBATOTAL-25NOV05WASBOS,closed,2025-11-06T03:05:10.497251Z,942
KXNBATOTAL-25NOV05WASBOS-223,KXNBATOTAL-25NOV05WASBOS,closed,2025-11-06T03:05:10.055714Z,938
KXNBATOTAL-25NOV05WASBOS-220,KXNBATOTAL-25NOV05WASBOS,closed,2025-11-06T03:05:09.58523Z,538
KXNBATOTAL-25NOV05WASBOS-217,KXNBATOTAL-25NOV05WASBOS,closed,2025-11-06T03:05:09.201276Z,700
KXNBATOTAL-25NOV05WASBOS-214,KXNBATOTAL-25NOV05WASBOS,closed,2025-11-06T03:05:08.642159Z,2032
KXNBASPREAD-25NOV05WASBOS-WAS5,KXNBASPREAD-25NOV05WASBOS,closed,2025-11-06T03:05:13.739466Z,6959
KXNBASPREAD-25NOV05WASBOS-WAS2,KXNBASPREAD-25NOV05WASBOS,closed,2025-11-06T03:05:14.216799Z,1708
KXNBASPREAD-25NOV05WASBOS-BOS7,KXNBASPREAD-25NOV05WASBOS,closed,2025-11-06T03:05:15.312245Z,11220
KXNBASPREAD-25NOV05WASBOS-BOS4,KXNBASPREAD-25NOV05WASBOS,closed,2025-11-06T03:05:14.980527Z,7294
KXNBASPREAD-25NOV05WASBOS-BOS25,KXNBASPREAD-25NOV05WASBOS,closed,2025-11-06T03:05:17.059625Z,27877
KXNBASPREAD-25NOV05WASBOS-BOS22,KXNBASPREAD-25NOV05WASBOS,closed,2025-11-06T03:05:16.725471Z,24187
KXNBASPREAD-25NOV05WASBOS-BOS19,KXNBASPREAD-25NOV05WASBOS,closed,2025-11-06T03:05:16.401379Z,12189
KXNBASPREAD-25NOV05WASBOS-BOS16,KXNBASPREAD-25NOV05WASBOS,closed,2025-11-06T03:05:16.135844Z,17426
KXNBASPREAD-25NOV05WASBOS-BOS13,KXNBASPREAD-25NOV05WASBOS,closed,2025-11-06T03:05:15.912673Z,44212
KXNBASPREAD-25NOV05WASBOS-BOS10,KXNBASPREAD-25NOV05WASBOS,closed,2025-11-06T03:05:15.665841Z,19057
