ticker,event_ticker,category,event_time,vol_total,vol_24h,vol_4h,vol_1h,n_trades_1h,max_trade_size_1h,net_yes_volume_1h,vol_30m,n_trades_30m,max_trade_size_30m,net_yes_volume_30m,price_change_30m
KXNCAAMBTOTAL-25NOV05COPPLAS-127,KXNCAAMBTOTAL-25NOV05COPPLAS,Sports,2025-11-06 02:16:02.207271+00:00,3010,3010,3010,221,2,200,221,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS9,KXNCAAMBSPREAD-25NOV05COPPLAS,Sports,2025-11-06 02:16:19.705512+00:00,250,250,250,0,0,0,0,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS6,KXNCAAMBSPREAD-25NOV05COPPLAS,Sports,2025-11-06 02:16:19.705512+00:00,250,250,250,0,0,0,0,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS30,KXNCAAMBSPREAD-25NOV05COPPLAS,Sports,2025-11-06 02:16:19.705512+00:00,250,250,250,250,3,200,-250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS3,KXNCAAMBSPREAD-25NOV05COPPLAS,Sports,2025-11-06 02:16:19.705512+00:00,250,250,250,0,0,0,0,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS27,KXNCAAMBSPREAD-25NOV05COPPLAS,Sports,2025-11-06 02:16:19.705512+00:00,250,250,250,250,2,200,250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS24,KXNCAAMBSPREAD-25NOV05COPPLAS,Sports,2025-11-06 02:16:19.705512+00:00,791,791,791,499,10,200,1,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS21,KXNCAAMBSPREAD-25NOV05COPPLAS,Sports,2025-11-06 02:16:19.705512+00:00,255,255,255,200,2,190,200,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS18,KXNCAAMBSPREAD-25NOV05COPPLAS,Sports,2025-11-06 02:16:19.705512+00:00,2308,2308,1894,0,0,0,0,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS15,KXNCAAMBSPREAD-25NOV05COPPLAS,Sports,2025-11-06 02:16:19.705512+00:00,4982,4982,1761,5,1,5,5,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS12,KXNCAAMBSPREAD-25NOV05COPPLAS,Sports,2025-11-06 02:16:19.705512+00:00,250,250,250,0,0,0,0,0,0,0,0,0.0
KXNBATOTAL-25NOV05PHICLE-248,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,30777,30777,29226,11477,103,800,-853,5120,46,800,1820,0.68
KXNBATOTAL-25NOV05PHICLE-245,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,10325,10325,9907,3872,20,1512,-1514,2624,11,1512,-1604,0.2
KXNBATOTAL-25NOV05PHICLE-242,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,11179,11179,10991,3472,22,546,-1066,604,4,500,496,0.62
KXNBATOTAL-25NOV05PHICLE-239,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,7087,7087,7087,2418,16,500,1450,603,4,404,397,0.54
KXNBATOTAL-25NOV05PHICLE-236,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,55246,55246,46054,8440,20,5000,4180,7204,6,5000,3250,0.55
KXNBATOTAL-25NOV05PHICLE-233,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,66470,66470,31548,3135,21,935,-1083,705,3,467,-705,0.48
KXNBATOTAL-25NOV05PHICLE-230,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,2372,2372,2046,1301,3,701,-101,0,0,0,0,0.0
KXNBATOTAL-25NOV05PHICLE-227,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,12437,12437,12266,1180,6,477,174,0,0,0,0,0.0
KXNBATOTAL-25NOV05PHICLE-224,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,6293,6293,6193,5224,4,4175,-4224,49,1,49,-49,0.26
KXNBATOTAL-25NOV05PHICLE-221,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,954,954,714,217,2,200,217,0,0,0,0,0.0
KXNBATOTAL-25NOV05PHICLE-218,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,7342,7342,6549,2364,9,935,-2164,0,0,0,0,0.0
KXNBASPREAD-25NOV05PHICLE-PHI5,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,3730,3730,2311,500,4,300,-500,0,0,0,0,0.0
KXNBASPREAD-25NOV05PHICLE-PHI2,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,2015,2015,1481,500,1,500,-500,0,0,0,0,0.0
KXNBASPREAD-25NOV05PHICLE-CLE7,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,7148,7148,4321,1390,10,419,1370,510,4,419,490,0.39
KXNBASPREAD-25NOV05PHICLE-CLE4,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,1624,1624,1440,564,3,500,564,0,0,0,0,0.0
KXNBASPREAD-25NOV05PHICLE-CLE25,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,3879,3879,3778,3000,16,500,-2460,636,3,439,-364,-0.1
KXNBASPREAD-25NOV05PHICLE-CLE22,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,8870,8870,8743,7577,30,500,-171,1613,11,500,383,0.1
KXNBASPREAD-25NOV05PHICLE-CLE19,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,7734,7734,7086,5775,31,500,921,1953,15,500,-1515,0.3500000000000001
KXNBASPREAD-25NOV05PHICLE-CLE16,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,15998,15998,15921,5035,26,675,1831,2092,15,500,-278,0.38000000000000006
KXNBASPREAD-25NOV05PHICLE-CLE13,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,18486,18486,16620,7112,39,1035,2032,6153,24,1035,1701,0.44000000000000006
KXNBASPREAD-25NOV05PHICLE-CLE10,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,89639,89639,48181,7232,44,967,2340,2119,14,411,-319,0.45999999999999996
KXNBASPREAD-25NOV05PHICLE-CLE1,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,1281,1281,1128,526,4,420,526,0,0,0,0,0.0
KXNBATOTAL-25NOV05WASBOS-244,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,3672,3672,3356,3352,30,1000,-1044,3352,30,1000,-1044,0.5
KXNBATOTAL-25NOV05WASBOS-241,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,2407,2407,2407,2403,12,1000,769,2403,12,1000,769,-0.11000000000000004
KXNBATOTAL-25NOV05WASBOS-238,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,13294,13294,6937,3705,40,500,583,2343,22,500,1415,-0.21
KXNBATOTAL-25NOV05WASBOS-235,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,18714,18714,11385,6427,31,500,-181,3008,17,500,1892,-0.12
KXNBATOTAL-25NOV05WASBOS-232,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,42201,42201,8436,2843,26,470,-1177,1673,11,470,-7,0.49999999999999994
KXNBATOTAL-25NOV05WASBOS-229,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,7256,7256,4306,971,9,474,321,971,9,474,321,0.29999999999999993
KXNBATOTAL-25NOV05WASBOS-226,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,942,942,923,669,4,500,385,669,4,500,385,0.35
KXNBATOTAL-25NOV05WASBOS-223,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,938,938,938,900,3,500,900,900,3,500,900,0.29000000000000004
KXNBATOTAL-25NOV05WASBOS-220,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,538,538,538,538,3,500,500,500,1,500,500,0.24
KXNBATOTAL-25NOV05WASBOS-217,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,700,700,700,500,2,410,500,410,1,410,410,0.18999999999999995
KXNBATOTAL-25NOV05WASBOS-214,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,2032,2032,1944,360,4,187,-172,23,1,23,-23,0.16999999999999993
KXNBASPREAD-25NOV05WASBOS-WAS5,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,6959,6959,6516,0,0,0,0,0,0,0,0,0.0
KXNBASPREAD-25NOV05WASBOS-WAS2,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,1708,1708,1618,500,2,455,-500,0,0,0,0,0.0
KXNBASPREAD-25NOV05WASBOS-BOS7,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,11220,11220,11033,1360,7,445,1240,0,0,0,0,0.0
KXNBASPREAD-25NOV05WASBOS-BOS4,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,7294,7294,7078,536,4,478,534,478,1,478,478,0.24
KXNBASPREAD-25NOV05WASBOS-BOS25,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,27877,27877,27638,25917,43,2500,17641,15481,27,2500,10153,0.26
KXNBASPREAD-25NOV05WASBOS-BOS22,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,24187,24187,24186,6830,20,1316,2816,4699,15,1000,3317,0.32999999999999996
KXNBASPREAD-25NOV05WASBOS-BOS19,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,12189,12189,11989,6464,13,2120,1766,4212,10,500,4000,0.52
KXNBASPREAD-25NOV05WASBOS-BOS16,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,17426,17426,17426,4740,11,2083,-340,1943,6,500,1857,0.41000000000000003
KXNBASPREAD-25NOV05WASBOS-BOS13,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,44212,44212,20463,3073,18,500,1623,1134,6,500,586,0.49
KXNBASPREAD-25NOV05WASBOS-BOS10,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,19057,19057,17674,3125,19,1134,579,602,4,485,468,0.41999999999999993
KXNBASPREAD-25NOV05WASBOS-BOS1,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,3029,3029,2999,500,4,395,500,0,0,0,0,0.0
